,X1,X,long,lat,group,order,region,subregion,State,GeoRegion
14316,14316,14316,-122.779129,45.73348999,60,14375,washington,NA,WA,Pacific
14317,14317,14317,-122.767662,45.76786804,60,14376,washington,NA,WA,Pacific
14318,14318,14318,-122.779129,45.79078674,60,14377,washington,NA,WA,Pacific
14319,14319,14319,-122.7905884,45.81943512,60,14378,washington,NA,WA,Pacific
14320,14320,14320,-122.7905884,45.84235382,60,14379,washington,NA,WA,Pacific
14321,14321,14321,-122.7905884,45.87673187,60,14380,washington,NA,WA,Pacific
14322,14322,14322,-122.8077698,45.93402481,60,14381,washington,NA,WA,Pacific
14323,14323,14323,-122.8478775,45.97986221,60,14382,washington,NA,WA,Pacific
14324,14324,14324,-122.9109039,46.0715332,60,14383,washington,NA,WA,Pacific
14325,14325,14325,-122.9968414,46.11164093,60,14384,washington,NA,WA,Pacific
14326,14326,14326,-123.1171646,46.1689415,60,14385,washington,NA,WA,Pacific
14327,14327,14327,-123.174469,46.1689415,60,14386,washington,NA,WA,Pacific
14328,14328,14328,-123.2202988,46.15747833,60,14387,washington,NA,WA,Pacific
14329,14329,14329,-123.2374878,46.15174866,60,14388,washington,NA,WA,Pacific
14330,14330,14330,-123.2775955,46.14028931,60,14389,washington,NA,WA,Pacific
14331,14331,14331,-123.3291626,46.13455963,60,14390,washington,NA,WA,Pacific
14332,14332,14332,-123.3692703,46.14028931,60,14391,washington,NA,WA,Pacific
14333,14333,14333,-123.3979263,46.1689415,60,14392,washington,NA,WA,Pacific
14334,14334,14334,-123.4265747,46.18612671,60,14393,washington,NA,WA,Pacific
14335,14335,14335,-123.4322968,46.22623444,60,14394,washington,NA,WA,Pacific
14336,14336,14336,-123.3979263,46.20331573,60,14395,washington,NA,WA,Pacific
14337,14337,14337,-123.3578186,46.1918602,60,14396,washington,NA,WA,Pacific
14338,14338,14338,-123.3463593,46.22623444,60,14397,washington,NA,WA,Pacific
14339,14339,14339,-123.386467,46.25488281,60,14398,washington,NA,WA,Pacific
14340,14340,14340,-123.4494781,46.26634216,60,14399,washington,NA,WA,Pacific
14341,14341,14341,-123.5182495,46.26634216,60,14400,washington,NA,WA,Pacific
14342,14342,14342,-123.586998,46.27207184,60,14401,washington,NA,WA,Pacific
14343,14343,14343,-123.6271057,46.28353119,60,14402,washington,NA,WA,Pacific
14344,14344,14344,-123.6614761,46.30644989,60,14403,washington,NA,WA,Pacific
14345,14345,14345,-123.7073212,46.28353119,60,14404,washington,NA,WA,Pacific
14346,14346,14346,-123.7588882,46.28353119,60,14405,washington,NA,WA,Pacific
14347,14347,14347,-123.798996,46.26634216,60,14406,washington,NA,WA,Pacific
